
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C0:06:C3:A2:2D:68, 2024-09-03 15:07:19, 2024-09-03 15:07:19, 11, 270, WPA2, CCMP, PSK, -91,        1,        0,   0.  0.  0.  0,  14, Griya Kos Lt 2, 
46:D9:E7:7B:60:0C, 2024-09-03 15:07:19, 2024-09-03 15:07:19,  1, 130, WPA2, CCMP, PSK, -89,        1,        0,   0.  0.  0.  0,  12, SMPN 2 SEWON, 
44:59:43:01:B9:96, 2024-09-03 15:07:17, 2024-09-03 15:07:22,  8, 130, WPA2, CCMP, PSK, -86,        2,        0,   0.  0.  0.  0,   2, ;), 
A8:74:84:36:6E:74, 2024-09-03 15:07:17, 2024-09-03 15:07:23,  3, 130, WPA2, CCMP, PSK, -87,        2,        0,   0.  0.  0.  0,   4, TITO, 
46:D9:E7:CD:5D:67, 2024-09-03 15:07:20, 2024-09-03 15:07:20, 11,  -1, WPA, ,   , -85,        0,        1,   0.  0.  0.  0,   0, , 
3C:A7:AE:3E:DA:BA, 2024-09-03 15:07:15, 2024-09-03 15:07:20, 11, 130, WPA2, CCMP, PSK, -84,        7,        0,   0.  0.  0.  0,  13, Indihome Asol, 
B0:A7:B9:44:AE:3E, 2024-09-03 15:07:19, 2024-09-03 15:07:24, 10, 270, WPA2, CCMP TKIP, PSK, -84,        2,        0,   0.  0.  0.  0,  21, Kost Putri Maryam Lt2, 
14:A0:F8:F9:6D:8C, 2024-09-03 15:07:18, 2024-09-03 15:07:24,  5, 130, WPA, CCMP TKIP, PSK, -83,        2,        0,   0.  0.  0.  0,   9, , 
88:E0:56:E1:3A:E4, 2024-09-03 15:07:19, 2024-09-03 15:07:21,  6, 130, WPA, CCMP TKIP, PSK, -83,        5,        1,   0.  0.  0.  0,  27, FIXINEMA OFFICE BIZNET 2.4G, 
EC:E7:A2:3A:8D:58, 2024-09-03 15:07:20, 2024-09-03 15:07:20, 11, 130, WPA2, CCMP, PSK, -81,        1,        0,   0.  0.  0.  0,   9, fh_3a8d58, 
B4:0F:3B:7F:6F:31, 2024-09-03 15:07:20, 2024-09-03 15:07:20, 11, 130, WPA2, CCMP, PSK, -81,        1,        0,   0.  0.  0.  0,  10, Tenda cctv, 
F8:64:B8:0D:08:48, 2024-09-03 15:07:16, 2024-09-03 15:07:23,  8, 130, WPA2, CCMP TKIP, PSK, -83,        8,       29,   0.  0.  0.  0,   8, WBP.AYLE, 
EC:6C:B5:72:E7:90, 2024-09-03 15:07:16, 2024-09-03 15:07:22, 13, 270, WPA2, CCMP TKIP, PSK, -78,        7,        0,   0.  0.  0.  0,   5, SILFI, 
04:95:E6:1F:65:80, 2024-09-03 15:07:15, 2024-09-03 15:07:20, 11, 270, WPA2, CCMP, PSK, -71,        5,        0,   0.  0.  0.  0,   4, K-on, 
50:91:E3:8B:34:CE, 2024-09-03 15:07:15, 2024-09-03 15:07:24,  2, 270, WPA2, CCMP, PSK, -68,       12,        0,   0.  0.  0.  0,  10, Spedometer, 
14:4D:67:2E:2E:78, 2024-09-03 15:07:15, 2024-09-03 15:07:24, 13,  54, WPA2, CCMP, PSK, -70,       35,        0,   0.  0.  0.  0,  13, Mulyadi Wader, 
32:42:40:1E:DC:BE, 2024-09-03 15:07:21, 2024-09-03 15:07:21,  1, 130, WPA2, CCMP TKIP, PSK, -85,        3,        0,   0.  0.  0.  0,   7, Pelangi, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
02:5D:4D:DF:57:90, 2024-09-03 15:07:15, 2024-09-03 15:07:15, -90,        2, E4:CA:12:EC:09:7E,
F6:C3:E3:C9:86:C0, 2024-09-03 15:07:17, 2024-09-03 15:07:22, -91,        2, F8:64:B8:0D:08:48,
F6:03:D8:AB:5E:6F, 2024-09-03 15:07:16, 2024-09-03 15:07:23, -84,       48, F8:64:B8:0D:08:48,
84:E3:42:02:76:BE, 2024-09-03 15:07:15, 2024-09-03 15:07:24, -53,       15, (not associated) ,🐇
F8:A2:D6:52:B8:9F, 2024-09-03 15:07:15, 2024-09-03 15:07:21,  -1,       13, E4:CA:12:EC:09:7E,
82:EB:69:68:75:AD, 2024-09-03 15:07:17, 2024-09-03 15:07:17,  -1,        1, F8:64:B8:0D:08:48,
F2:C3:2E:89:3E:9A, 2024-09-03 15:07:24, 2024-09-03 15:07:24, -88,        1, 14:A0:F8:F9:6D:8C,

